,District N,Sub-distri,Block Name,Local Body,Village Na,FD Study i,FD Study_1,geometry,distance_bridge,distance_railway,distance_water,kmeans6
0,South 24 Parganas,Diamond Harbour,Mathurapur - I,Mathurapur Paschim,Uttar Janardanpur,,,POINT (9838151.018794198 2526450.843604821),15629.035052380412,2462.1979804064435,16010.493343260368,0
1,South 24 Parganas,Baruipur,Jaynagar - I,Narayanitala,Narayani Tala,,,POINT (9845750.7532563 2544207.411061092),20835.555584516198,1590.6628558449424,17258.692018578036,0
2,South 24 Parganas,Baruipur,Jaynagar - I,Uttar Durgapur,Ramnarayanpur (P),,,POINT (9842509.444076605 2533400.94928244),19676.421760355206,1537.3265479172994,17735.083922765505,0
3,South 24 Parganas,Diamond Harbour,Mathurapur - I,Debipur,Subuddhipur,,,POINT (9841735.618761456 2527876.005840195),17201.833093439513,2175.9748962443387,15864.11877726468,0
4,South 24 Parganas,Baruipur,Jaynagar - II,Sahajadapur,Kamalpur,,,POINT (9846557.285430312 2533333.9666921855),15650.005101406427,2968.3517956577402,13709.398773240762,0
5,South 24 Parganas,Diamond Harbour,Mathurapur - I,Uttar Lakshminarayanpur,Sekhpukhuria,,,POINT (9836689.588580986 2523859.9220262975),13245.865447397131,2723.7687327831336,14760.224515703701,0
6,South 24 Parganas,Diamond Harbour,Mathurapur - I,Lalpur,Paschim Ranaghat,,,POINT (9844479.48554471 2528695.942636962),17773.214538736756,3783.357464445016,16107.889716254615,0
7,South 24 Parganas,Baruipur,Jaynagar - II,Futigoda,Banamalipur (P),,,POINT (9841958.19846476 2530985.575266631),20111.623049878373,992.4236872132274,18620.439178656918,0
8,South 24 Parganas,Baruipur,Jaynagar - I,Khakurdaha,Goalberia,,,POINT (9850278.77130964 2543990.9481786387),17357.732296436203,3259.454938786961,13547.53707726644,0
9,South 24 Parganas,Baruipur,Jaynagar - I,Khakurdaha,Neutala,,,POINT (9847973.542616652 2544527.749415595),19362.971712974955,912.0174980216023,15644.740236471942,0
10,South 24 Parganas,Canning,Canning - II,Tambuldaha-I,Khagra,,,POINT (9871700.16389215 2558537.84584857),10252.476429896991,8823.95601337275,7488.352341816773,1
11,South 24 Parganas,Canning,Canning - II,Tambuldaha-II,Kuler Khoj,,,POINT (9861163.84806467 2556934.453320517),13715.03706861638,3410.5405849785316,11924.172329508987,1
12,South 24 Parganas,Kakdwip,Sagar,Dhaspara Sumatinagar-I,Dhaspara,,,POINT (9810331.298196487 2483907.815575809),11029.296614756851,12382.406496679587,4772.019214034684,1
13,South 24 Parganas,Baruipur,Jaynagar - I,Bamangachhi,Chatra,,,POINT (9851805.279702647 2542504.775453978),15230.551571860733,5244.918758663973,11417.67848259194,1
14,South 24 Parganas,Diamond Harbour,Mathurapur - II,Kautala,Kautala,,,POINT (9842783.469873404 2520192.2022033045),9752.091220564342,8812.076978524476,8299.120436126123,1
15,North 24 Parganas,Bashirhat,Hasnabad,Bhebia,Konanagar,,,POINT (9887821.719315281 2581639.97201993),9976.289332908862,9071.173320746004,7004.716849601379,1
16,South 24 Parganas,Baruipur,Jaynagar - I,Dhosa Chandaneswar,Manik Nagar,,,POINT (9855187.693086118 2540251.8903429704),11329.321150010413,8861.29889658163,7432.0011568310865,1
17,South 24 Parganas,Canning,Canning - II,Sarengabad,Miagheri,,,POINT (9870683.170419453 2562091.1159746344),13850.953402872465,11402.77255355242,11119.050879140483,1
18,South 24 Parganas,Diamond Harbour,Mathurapur - I,Abad Bhagawanpur,Nandanpur,,,POINT (9832692.147808397 2517100.207995197),9033.961854642885,7691.6560624200065,10932.935235358815,1
19,South 24 Parganas,Canning,Canning - II,Deuli-I,Sastakhali,,,POINT (9871572.900373401 2564268.4511170583),13914.095327670739,13754.817324828644,11207.591742956549,1
20,South 24 Parganas,Baruipur,Kultali,Deulbari Debipur,Shyamnagar,,,POINT (9858606.258345347 2514342.7433460127),2840.937820170563,23628.795129315095,526.9780320130122,2
21,South 24 Parganas,Diamond Harbour,Mathurapur - II,Nagendrapur,Nagendrapur,,,POINT (9848997.94322476 2502773.9754853747),3824.405995148075,27110.137415425794,1778.9000706624715,2
22,South 24 Parganas,Canning,Gosaba,Rangabelia,Uttar Danga,,,POINT (9891535.473799007 2534472.3801885927),2797.2356198804982,25710.62351046083,1322.3174878168597,2
23,North 24 Parganas,Bashirhat,Hasnabad,Murarisha,Garakupi,,,POINT (9885828.534548389 2582156.3137322757),9919.886407853344,8224.48311552959,6518.790389624144,3
24,South 24 Parganas,Canning,Basanti,Uttar Mokamberia,Harbhangi,,,POINT (9868054.162982978 2537755.0551139396),7979.404504902593,11708.64321310524,1262.126609506999,3
25,South 24 Parganas,Kakdwip,Namkhana,Haripur,Uttar Chandanpiri,,,POINT (9828355.733011192 2474017.425028989),4622.382157856324,11620.976452840994,1722.4812687557458,3
26,North 24 Parganas,Bashirhat,Hasnabad,Amlani,Sirajpur,,,POINT (9894345.913734572 2582947.579522428),4700.120610375726,3584.8440196080737,4471.178593717747,3
27,South 24 Parganas,Canning,Canning - II,Tambuldaha-I,Kaparpuri,,,POINT (9869076.374931823 2556393.6348838396),8555.606978072361,5572.397365903063,6116.007054693012,3
28,South 24 Parganas,Canning,Canning - I,Nikarighata,Maukhali,,,POINT (9870951.710843422 2554075.3685631757),5852.462230561658,4887.3317031630195,3216.3188357449653,3
29,North 24 Parganas,Bashirhat,Hasnabad,Bhebia,Kerundia,,,POINT (9888478.370696222 2576149.4450264787),6789.986125368788,10177.435217366288,4150.121698898725,3
30,North 24 Parganas,Bashirhat,Minakhan,Chaital,Paitkelpota,,,POINT (9885743.149948474 2577551.4806181933),5721.4080129556505,12349.1532453938,4294.959079080608,3
31,North 24 Parganas,Bashirhat,Hasnabad,Makhalgachha,Tegharia,,,POINT (9886127.106869332 2575651.3721017865),4560.4774051254635,12539.855388028263,3857.416800306276,3
32,South 24 Parganas,Kakdwip,Sagar,Muriganga-I,Muri Ganga,,,POINT (9812969.306007793 2491308.2714858493),3577.573902274398,7499.832116809544,2892.657394100779,3
33,South 24 Parganas,Baruipur,Jaynagar - II,Chuprijhara,Radhaballabhpur,,,POINT (9856284.314630631 2517248.851551952),6390.567719353113,20055.078356794136,3412.8458543308907,4
34,North 24 Parganas,Bashirhat,Minakhan,Minakhan,Debdol,,,POINT (9878738.455022521 2569540.2837180076),5028.435130570522,20541.883913410966,4107.684607382516,4
35,South 24 Parganas,Canning,Basanti,Basanti,Chandrakona,,,POINT (9877122.2953788 2534243.001536975),2002.7860706482682,16380.781172059102,747.9234296150111,4
36,South 24 Parganas,Canning,Basanti,Basanti,Krishnagar,,,POINT (9873377.68328987 2534211.5230340795),2827.97127194479,15279.721966424702,2215.903895489843,4
37,South 24 Parganas,Kakdwip,Patharpratima,Brajaballavpur,Brojaballabpur,,,POINT (9835721.699215095 2476852.652632837),1744.5064420950591,14929.968191071379,1788.1125230840178,4
38,North 24 Parganas,Bashirhat,Sandeshkhali - II,Durgamandop,Gabbaria,,,POINT (9887214.827827198 2547374.5616296004),1258.0610373303484,16846.000254353323,1731.4766416025718,4
39,South 24 Parganas,Canning,Gosaba,Pathankhali,Battali,,,POINT (9882957.136021366 2539276.399608408),5190.689141302653,15958.059082016734,3043.023942409688,4
40,North 24 Parganas,Bashirhat,Minakhan,Kumarjole,Kulsini,,,POINT (9876201.715638155 2568667.0982673652),7592.390980199647,19764.235320990698,5855.155971148988,4
41,South 24 Parganas,Kakdwip,Sagar,Gangasagar,Natendrapur,,,POINT (9804677.574068189 2474437.5677928096),8298.950243486803,20494.409688344393,4177.6630992833525,4
42,South 24 Parganas,Canning,Gosaba,Kumirmari,Kumirmari,,,POINT (9900165.863846404 2536154.1980424104),2106.319785605479,32440.53188921829,2381.01068122237,5
43,South 24 Parganas,Canning,Gosaba,Amtali,Puinjali,,,POINT (9901335.790475415 2540550.8517419696),2004.3547379296629,32058.579956513157,1216.1974237481227,5
44,South 24 Parganas,Canning,Gosaba,Lahiripur,Sadhupur,,,POINT (9894679.03380076 2524699.3068693606),5503.573630316491,34452.53760402039,748.9611042116222,5
45,North 24 Parganas,Bashirhat,Hingalganj,Sahebkhali,Ramapur,,,POINT (9902429.142636996 2549154.871874932),1882.1987917407407,31435.49903509752,1581.2052972423985,5
46,South 24 Parganas,Baruipur,Kultali,Maipith Baikunthapur,Maipit,,,POINT (9856638.471305456 2502409.2993871025),5900.070793243959,31078.905386017726,657.831761601026,5
47,North 24 Parganas,Bashirhat,Hingalganj,Kalitala,Kalitala,,,POINT (9909565.165795827 2537458.4229742135),4062.139161027869,40824.36918840857,2468.5015181161707,5
48,South 24 Parganas,Canning,Gosaba,Satjelia,Sudhansupur,,,POINT (9893933.078240806 2527524.9321535886),3986.604787592979,31951.093978770954,2690.998640213007,5
49,South 24 Parganas,Canning,Gosaba,Lahiripur,Luxbagan,,,POINT (9895761.165213626 2527225.168381706),5255.962610643756,33512.58972380502,1099.412045191118,5
50,North 24 Parganas,Bashirhat,Hingalganj,Kalitala,Parghumti,,Yes,POINT (9907487.548367096 2538910.8798232325),3183.6677057327984,38424.73160336476,2441.217051522337,5
51,North 24 Parganas,Bashirhat,Hingalganj,Kalitala,Haridaskati Samsernagar,Yes,Yes,POINT (9911206.852754375 2537901.9996751896),5762.27132832835,42278.36498520804,779.6254123761083,5
52,South 24 Parganas,Canning,Gosaba,Bali-II,Bijoynagar,Yes,Yes,POINT (9883714.541537711 2528513.6999933487),2575.770274651404,24573.38666161303,2190.388352969346,2
53,South 24 Parganas,Canning,Gosaba,Bali-II,Birajnagar,,Yes,POINT (9884109.241325367 2529873.585879848),1168.6144728126658,23664.69512213196,1995.94533163195,2
54,South 24 Parganas,Kakdwip,Patharpratima,Laksmijanardanpur,Purba Dwarokapur,,Yes,POINT (9843302.954075703 2497837.8278237665),2100.5527617827047,22793.03671999667,1999.2312681958733,2
55,South 24 Parganas,Kakdwip,Namkhana,Frezarganj,Amrabati,,Yes,POINT (9825420.838529298 2460042.383882167),7031.600208908263,24284.580756051306,1343.8726773741314,2
56,South 24 Parganas,Kakdwip,Namkhana,Frezarganj,Shibpur,,Yes,POINT (9824303.034825219 2465551.421969223),1609.2916294291015,18691.79557211563,2894.114261235263,4
57,South 24 Parganas,Kakdwip,Patharpratima,Laksmijanardanpur,Lakshmi Janardanpur,,Yes,POINT (9847046.055038063 2491773.351664604),1187.6262524537813,25350.683613027573,1436.8374510917345,2
58,South 24 Parganas,Kakdwip,Sagar,Gangasagar,Beguakhali,Yes,Yes,POINT (9801250.869941873 2470755.324457154),11878.861057325114,25310.56022567395,1383.277236939435,2
59,South 24 Parganas,Kakdwip,Sagar,Gangasagar,Gangasagar,,Yes,POINT (9805144.127830714 2468567.308255789),9005.424716198311,23498.878303815658,1266.1758334890915,2
